# Thet  eta  binding
262.01 23.23 0.53
262.33 23.23 0.54
262.66 23.23 0.54
262.98 23.23 0.54
263.30 23.23 0.54
263.63 23.23 0.54
263.95 23.23 0.55
264.27 23.23 0.55
264.60 23.23 0.55
264.92 23.23 0.55
265.24 23.23 0.56
265.57 23.23 0.56
265.89 23.23 0.56
266.21 23.23 0.56
266.54 23.23 0.56
266.86 23.23 0.56
267.18 23.23 0.57
267.51 23.23 0.57
267.83 23.23 0.57
268.15 23.23 0.57
268.47 23.23 0.57
268.80 23.23 0.57
269.12 23.23 0.57
269.44 23.23 0.57
269.77 23.23 0.57
270.09 23.23 0.58
270.41 23.23 0.58
270.74 23.23 0.58
271.06 23.23 0.58
271.38 23.23 0.58
271.71 23.23 0.58
272.03 23.23 0.58
272.35 23.23 0.58
272.68 23.23 0.57
273.00 23.23 0.57
241.00 24.85 0.37
241.32 24.85 0.37
241.65 24.85 0.37
241.97 24.85 0.38
242.29 24.85 0.38
242.62 24.85 0.38
242.94 24.85 0.38
243.26 24.85 0.39
243.59 24.85 0.39
243.91 24.85 0.39
244.23 24.85 0.39
244.56 24.85 0.40
244.88 24.85 0.40
245.20 24.85 0.40
245.53 24.85 0.41
245.85 24.85 0.41
246.17 24.85 0.41
246.49 24.85 0.41
246.82 24.85 0.42
247.14 24.85 0.42
247.46 24.85 0.42
247.79 24.85 0.43
248.11 24.85 0.43
248.43 24.85 0.43
248.76 24.85 0.43
249.08 24.85 0.44
249.40 24.85 0.44
249.73 24.85 0.44
250.05 24.85 0.45
250.37 24.85 0.45
250.70 24.85 0.45
251.02 24.85 0.45
251.34 24.85 0.46
251.67 24.85 0.46
251.99 24.85 0.46
252.31 24.85 0.47
252.64 24.85 0.47
252.96 24.85 0.47
253.28 24.85 0.47
253.61 24.85 0.47
253.93 24.85 0.48
254.25 24.85 0.48
254.58 24.85 0.48
254.90 24.85 0.48
255.22 24.85 0.49
255.55 24.85 0.49
255.87 24.85 0.49
256.19 24.85 0.49
256.52 24.85 0.50
256.84 24.85 0.50
257.16 24.85 0.50
257.48 24.85 0.50
257.81 24.85 0.50
258.13 24.85 0.51
258.45 24.85 0.51
258.78 24.85 0.51
259.10 24.85 0.51
259.42 24.85 0.52
259.75 24.85 0.52
260.07 24.85 0.52
260.39 24.85 0.52
260.72 24.85 0.53
261.04 24.85 0.53
261.36 24.85 0.53
261.69 24.85 0.53
262.01 24.85 0.54
262.33 24.85 0.54
262.66 24.85 0.54
262.98 24.85 0.54
263.30 24.85 0.55
263.63 24.85 0.55
263.95 24.85 0.55
264.27 24.85 0.55
264.60 24.85 0.55
264.92 24.85 0.56
265.24 24.85 0.56
265.57 24.85 0.56
265.89 24.85 0.56
266.21 24.85 0.56
266.54 24.85 0.57
266.86 24.85 0.57
267.18 24.85 0.57
267.51 24.85 0.57
267.83 24.85 0.57
268.15 24.85 0.57
268.47 24.85 0.57
268.80 24.85 0.58
269.12 24.85 0.58
269.44 24.85 0.58
269.77 24.85 0.58
270.09 24.85 0.58
270.41 24.85 0.58
270.74 24.85 0.58
271.06 24.85 0.58
271.38 24.85 0.58
271.71 24.85 0.58
272.03 24.85 0.58
272.35 24.85 0.58
272.68 24.85 0.58
273.00 24.85 0.58
241.00 26.46 0.37
241.32 26.46 0.37
241.65 26.46 0.37
241.97 26.46 0.38
242.29 26.46 0.38
242.62 26.46 0.38
242.94 26.46 0.38
243.26 26.46 0.39
243.59 26.46 0.39
